mean	delta	phaseL	phaseR	time	x	dx	dy	power_L	power_R
 375.000	   0.000	   0.000	   0.000	   1.441	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.000	   0.000	   0.000	   1.441	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.000	   0.000	   0.000	   1.441	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.000	   0.000	   0.000	   1.441	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.000	   0.000	   0.000	   1.441	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.000	   0.000	   0.000	   8.400	   7.213	   0.415	  -0.197	 -56.205	 -99.421
 387.857	   0.000	   0.000	   0.000	   7.810	   9.628	   1.082	  -0.100	 -31.991	 -74.571
 390.000	   0.000	   0.000	   0.000	   7.890	  10.964	   1.351	  -0.104	  -9.769	 -30.006
 375.000	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   0.714	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 375.000	   1.429	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   1.429	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   1.429	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   1.429	   0.000	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   1.429	   0.000	   0.000	   1.150	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   1.429	   0.000	   0.000	   5.290	   5.683	   0.843	  -0.063	 -75.712	-120.738
 387.857	   1.429	   0.000	   0.000	   5.250	   6.904	   1.241	  -0.084	 -43.514	 -55.987
 390.000	   1.429	   0.000	   0.000	   5.310	   7.520	   1.399	  -0.084	 -13.082	 -13.951
 375.000	   2.143	   0.000	   0.000	   5.310	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.143	   0.000	   0.000	   5.310	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.143	   0.000	   0.000	   5.310	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.143	   0.000	   0.000	   5.310	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.143	   0.000	   0.000	   2.430	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.143	   0.000	   0.000	   5.240	   5.483	   0.788	  -0.129	-119.037	-116.691
 387.857	   2.143	   0.000	   0.000	   5.120	   6.662	   1.215	  -0.114	 -44.108	 -52.874
 390.000	   2.143	   0.000	   0.000	   5.120	9999.000	9999.000	9999.000	9999.000	9999.000
 375.000	   2.857	   0.000	   0.000	   5.120	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.857	   0.000	   0.000	   5.120	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.857	   0.000	   0.000	   5.120	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.857	   0.000	   0.000	   5.120	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.857	   0.000	   0.000	   2.460	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.857	   0.000	   0.000	   2.500	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   2.857	   0.000	   0.000	   5.080	   6.499	   1.174	  -0.111	 -67.901	 -48.964
 390.000	   2.857	   0.000	   0.000	   5.100	   7.026	   1.335	  -0.130	 -21.184	 -11.867
 375.000	   3.571	   0.000	   0.000	   5.100	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   3.571	   0.000	   0.000	   5.100	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   3.571	   0.000	   0.000	   5.100	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   3.571	   0.000	   0.000	   0.610	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   3.571	   0.000	   0.000	   1.790	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   3.571	   0.000	   0.000	   2.510	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   3.571	   0.000	   0.000	   5.110	   6.548	   1.171	  -0.122	 -63.061	 -36.246
 390.000	   3.571	   0.000	   0.000	   5.020	   6.800	   1.298	  -0.096	 -37.631	 -10.297
 375.000	   4.286	   0.000	   0.000	   5.020	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   4.286	   0.000	   0.000	   5.020	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   4.286	   0.000	   0.000	   5.020	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   4.286	   0.000	   0.000	   0.610	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   4.286	   0.000	   0.000	   1.790	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   4.286	   0.000	   0.000	   2.490	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   4.286	   0.000	   0.000	   5.050	   6.547	   1.198	  -0.129	 -57.232	 -19.919
 390.000	   4.286	   0.000	   0.000	   5.150	   6.876	   1.258	  -0.121	 -39.665	  -8.508
 375.000	   5.000	   0.000	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   5.000	   0.000	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   5.000	   0.000	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   5.000	   0.000	   0.000	   0.610	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   5.000	   0.000	   0.000	   1.780	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   5.000	   0.000	   0.000	   2.480	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   5.000	   0.000	   0.000	   2.540	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   5.000	   0.000	   0.000	   5.180	   6.844	   1.232	  -0.114	 -41.395	  -5.192
 375.000	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
